,id,alias,name,is_closed,review_cou,rating,price,categories,latitude,longitude,address,city,zipcode,state,country,index_right,NTACode,NTAName,Households,0-25k,25k-50k,50k-75k,75k-100k,100k-125k,125k-150k,> 150k,MeanLifeExp
0,6gzQLjzJk25ePm_JS7ZAug,esme-brooklyn-2,Esme,0,328,4.5,$$,newamerican|cocktailbars,40.73320339,-73.95496677,999 Manhattan Ave,Brooklyn,11222,NY,US,170,BK76,Greenpoint,16223,0.20020957899278802,0.13684275411452876,0.15188312889108058,0.13597978179128398,0.10552918695678974,0.0869136411267953,0.18264192812673366,80.16363636363637
1,Swjm9no7DRqhThLlf0EHng,sama-street-brooklyn-2,Sama Street,0,58,4.5,$$,cocktailbars|panasian|tapasmallplates,40.73287,-73.95448,988 Manhattan Ave,Brooklyn,11222,NY,US,170,BK76,Greenpoint,16223,0.20020957899278802,0.13684275411452876,0.15188312889108058,0.13597978179128398,0.10552918695678974,0.0869136411267953,0.18264192812673366,80.16363636363637
2,utM-5navObsVA5sCRHobzA,madre-brooklyn-2,Madre,0,38,5.0,MISSING,newamerican,40.73311,-73.95798,214 Franklin St,Brooklyn,11222,NY,US,170,BK76,Greenpoint,16223,0.20020957899278802,0.13684275411452876,0.15188312889108058,0.13597978179128398,0.10552918695678974,0.0869136411267953,0.18264192812673366,80.16363636363637
3,L9SuMN3UsGipopWOe3pr9w,chiko-brooklyn-2,Chiko,0,36,5.0,MISSING,japanese|sushi,40.7319,-73.95421999999998,954 Manhattan Ave,Brooklyn,11222,NY,US,170,BK76,Greenpoint,16223,0.20020957899278802,0.13684275411452876,0.15188312889108058,0.13597978179128398,0.10552918695678974,0.0869136411267953,0.18264192812673366,80.16363636363637
4,vyKBwzRdNX4yiJDIFv37iw,oxomoco-brooklyn-2,Oxomoco,0,247,4.0,$$$,mexican,40.7299099,-73.95548000000002,128 Greenpoint Ave,Brooklyn,11222,NY,US,170,BK76,Greenpoint,16223,0.20020957899278802,0.13684275411452876,0.15188312889108058,0.13597978179128398,0.10552918695678974,0.0869136411267953,0.18264192812673366,80.16363636363637
5,J5y7oRfiGtxFDkYGKxFZkw,anella-brooklyn,Anella,0,408,4.0,$$,newamerican,40.73327000000001,-73.95786,222 Franklin St,Brooklyn,11222,NY,US,170,BK76,Greenpoint,16223,0.20020957899278802,0.13684275411452876,0.15188312889108058,0.13597978179128398,0.10552918695678974,0.0869136411267953,0.18264192812673366,80.16363636363637
6,a6SzfZ2F-uELmymusQVMBg,karczma-brooklyn,Karczma,0,549,4.5,$$,polish,40.72997700000001,-73.955128,136 Greenpoint Ave,Brooklyn,11222,NY,US,170,BK76,Greenpoint,16223,0.20020957899278802,0.13684275411452876,0.15188312889108058,0.13597978179128398,0.10552918695678974,0.0869136411267953,0.18264192812673366,80.16363636363637
7,OwDRIugcA4LkUuTRqpJsog,naked-dog-greenpoint,Naked Dog,0,191,4.5,$$,italian|wine_bars|cocktailbars,40.73127207,-73.95934936,47 Java St,Greenpoint,11222,NY,US,170,BK76,Greenpoint,16223,0.20020957899278802,0.13684275411452876,0.15188312889108058,0.13597978179128398,0.10552918695678974,0.0869136411267953,0.18264192812673366,80.16363636363637
8,_FICyzFLQxR7N62I6qU94A,kanahashi-brooklyn,KanaHashi,0,86,4.5,$$,sushi|lounges,40.73263,-73.95482,981 Manhattan Ave,Brooklyn,11222,NY,US,170,BK76,Greenpoint,16223,0.20020957899278802,0.13684275411452876,0.15188312889108058,0.13597978179128398,0.10552918695678974,0.0869136411267953,0.18264192812673366,80.16363636363637
9,w5B0FmQoEOoeURoFuguh0w,the-brew-inn-brooklyn,The Brew Inn,0,148,4.0,$$,gastropubs|pubs,40.731044,-73.954101,924 Manhattan Ave,Brooklyn,11222,NY,US,170,BK76,Greenpoint,16223,0.20020957899278802,0.13684275411452876,0.15188312889108058,0.13597978179128398,0.10552918695678974,0.0869136411267953,0.18264192812673366,80.16363636363637
